time,station_id,Water_Level_LAT,Water_Level_OD_Malin,QC_Flag
UTC,,metres,metres,
2022-02-22T11:15:00Z,Aranmore Island - Leabgarrow,3.225,1.022,0
2022-02-22T11:20:00Z,Aranmore Island - Leabgarrow,3.161,0.958,0
2022-02-22T11:25:00Z,Aranmore Island - Leabgarrow,3.275,1.072,0
2022-02-22T11:30:00Z,Aranmore Island - Leabgarrow,3.116,0.913,0
2022-02-22T11:35:00Z,Aranmore Island - Leabgarrow,3.112,0.909,0
2022-02-22T11:40:00Z,Aranmore Island - Leabgarrow,3.049,0.846,0
2022-02-22T11:45:00Z,Aranmore Island - Leabgarrow,3.049,0.846,0
2022-02-22T11:50:00Z,Aranmore Island - Leabgarrow,3.095,0.892,0
2022-02-22T11:55:00Z,Aranmore Island - Leabgarrow,2.845,0.642,0
2022-02-22T12:00:00Z,Aranmore Island - Leabgarrow,2.847,0.644,0
2022-02-22T12:05:00Z,Aranmore Island - Leabgarrow,2.772,0.569,0
2022-02-22T12:10:00Z,Aranmore Island - Leabgarrow,2.797,0.594,0
2022-02-22T12:15:00Z,Aranmore Island - Leabgarrow,2.543,0.34,0
2022-02-22T12:20:00Z,Aranmore Island - Leabgarrow,2.421,0.218,0
2022-02-22T12:25:00Z,Aranmore Island - Leabgarrow,2.542,0.339,0
2022-02-22T12:30:00Z,Aranmore Island - Leabgarrow,2.592,0.389,0
2022-02-22T12:35:00Z,Aranmore Island - Leabgarrow,2.163,-0.04,0
2022-02-22T12:40:00Z,Aranmore Island - Leabgarrow,2.418,0.215,0
2022-02-22T12:45:00Z,Aranmore Island - Leabgarrow,2.263,0.06,0
2022-02-22T12:50:00Z,Aranmore Island - Leabgarrow,2.241,0.038,0
2022-02-22T12:55:00Z,Aranmore Island - Leabgarrow,2.013,-0.19,0
2022-02-22T13:00:00Z,Aranmore Island - Leabgarrow,2.035,-0.168,0
2022-02-22T13:05:00Z,Aranmore Island - Leabgarrow,1.825,-0.378,0
2022-02-22T13:10:00Z,Aranmore Island - Leabgarrow,1.851,-0.352,0
2022-02-22T13:15:00Z,Aranmore Island - Leabgarrow,1.786,-0.417,0
2022-02-22T13:20:00Z,Aranmore Island - Leabgarrow,1.814,-0.389,0
2022-02-22T13:25:00Z,Aranmore Island - Leabgarrow,1.64,-0.563,0
2022-02-22T13:30:00Z,Aranmore Island - Leabgarrow,1.544,-0.659,0
2022-02-22T13:35:00Z,Aranmore Island - Leabgarrow,1.6,-0.603,0
2022-02-22T13:40:00Z,Aranmore Island - Leabgarrow,1.577,-0.626,0
2022-02-22T13:45:00Z,Aranmore Island - Leabgarrow,1.687,-0.516,0
2022-02-22T13:50:00Z,Aranmore Island - Leabgarrow,1.383,-0.82,0
2022-02-22T13:55:00Z,Aranmore Island - Leabgarrow,1.409,-0.794,0
2022-02-22T14:00:00Z,Aranmore Island - Leabgarrow,1.486,-0.717,0
2022-02-22T14:05:00Z,Aranmore Island - Leabgarrow,1.425,-0.778,0
2022-02-22T14:10:00Z,Aranmore Island - Leabgarrow,1.425,-0.778,0
2022-02-22T14:15:00Z,Aranmore Island - Leabgarrow,1.286,-0.917,0
2022-02-22T14:20:00Z,Aranmore Island - Leabgarrow,1.381,-0.822,0
2022-02-22T14:25:00Z,Aranmore Island - Leabgarrow,1.382,-0.821,0
2022-02-22T14:30:00Z,Aranmore Island - Leabgarrow,1.239,-0.964,0
2022-02-22T14:35:00Z,Aranmore Island - Leabgarrow,1.165,-1.038,0
2022-02-22T14:40:00Z,Aranmore Island - Leabgarrow,1.149,-1.054,0
2022-02-22T14:45:00Z,Aranmore Island - Leabgarrow,1.078,-1.125,0
2022-02-22T14:50:00Z,Aranmore Island - Leabgarrow,1.146,-1.057,0
2022-02-22T14:55:00Z,Aranmore Island - Leabgarrow,1.145,-1.058,0
2022-02-22T15:00:00Z,Aranmore Island - Leabgarrow,1.253,-0.95,0
2022-02-22T15:05:00Z,Aranmore Island - Leabgarrow,1.102,-1.101,0
2022-02-22T15:10:00Z,Aranmore Island - Leabgarrow,1.024,-1.179,0
2022-02-22T15:15:00Z,Aranmore Island - Leabgarrow,1.099,-1.104,0
2022-02-22T15:20:00Z,Aranmore Island - Leabgarrow,0.953,-1.25,0
2022-02-22T15:25:00Z,Aranmore Island - Leabgarrow,1.081,-1.122,0
2022-02-22T15:30:00Z,Aranmore Island - Leabgarrow,1.027,-1.176,0
2022-02-22T15:35:00Z,Aranmore Island - Leabgarrow,1.174,-1.029,0
2022-02-22T15:40:00Z,Aranmore Island - Leabgarrow,1.154,-1.049,0
2022-02-22T15:45:00Z,Aranmore Island - Leabgarrow,1.062,-1.141,0
2022-02-22T15:50:00Z,Aranmore Island - Leabgarrow,1.198,-1.005,0
2022-02-22T15:55:00Z,Aranmore Island - Leabgarrow,1.082,-1.121,0
2022-02-22T16:00:00Z,Aranmore Island - Leabgarrow,1.198,-1.005,0
2022-02-22T16:05:00Z,Aranmore Island - Leabgarrow,1.007,-1.196,0
2022-02-22T16:10:00Z,Aranmore Island - Leabgarrow,1.066,-1.137,0
2022-02-22T16:15:00Z,Aranmore Island - Leabgarrow,1.003,-1.2,0
2022-02-22T16:20:00Z,Aranmore Island - Leabgarrow,1.274,-0.929,0
2022-02-22T16:25:00Z,Aranmore Island - Leabgarrow,1.106,-1.097,0
2022-02-22T16:30:00Z,Aranmore Island - Leabgarrow,1.227,-0.976,0
2022-02-22T16:35:00Z,Aranmore Island - Leabgarrow,1.314,-0.889,0
2022-02-22T16:40:00Z,Aranmore Island - Leabgarrow,0.998,-1.205,0
2022-02-22T16:45:00Z,Aranmore Island - Leabgarrow,1.2,-1.003,0
2022-02-22T16:50:00Z,Aranmore Island - Leabgarrow,1.142,-1.061,0
2022-02-22T16:55:00Z,Aranmore Island - Leabgarrow,1.396,-0.807,0
2022-02-22T17:00:00Z,Aranmore Island - Leabgarrow,1.331,-0.872,0
2022-02-22T17:05:00Z,Aranmore Island - Leabgarrow,1.258,-0.945,0
2022-02-22T17:10:00Z,Aranmore Island - Leabgarrow,1.439,-0.764,0
2022-02-22T17:15:00Z,Aranmore Island - Leabgarrow,1.227,-0.976,0
2022-02-22T17:20:00Z,Aranmore Island - Leabgarrow,1.323,-0.88,0
2022-02-22T17:25:00Z,Aranmore Island - Leabgarrow,1.425,-0.778,0
2022-02-22T17:30:00Z,Aranmore Island - Leabgarrow,1.709,-0.494,0
2022-02-22T17:35:00Z,Aranmore Island - Leabgarrow,1.597,-0.606,0
2022-02-22T17:40:00Z,Aranmore Island - Leabgarrow,1.596,-0.607,0
2022-02-22T17:45:00Z,Aranmore Island - Leabgarrow,1.597,-0.606,0
2022-02-22T17:50:00Z,Aranmore Island - Leabgarrow,1.69,-0.513,0
2022-02-22T17:55:00Z,Aranmore Island - Leabgarrow,1.671,-0.532,0
2022-02-22T18:00:00Z,Aranmore Island - Leabgarrow,1.607,-0.596,0
2022-02-22T18:05:00Z,Aranmore Island - Leabgarrow,1.88,-0.323,0
2022-02-22T18:10:00Z,Aranmore Island - Leabgarrow,1.795,-0.408,0
2022-02-22T18:15:00Z,Aranmore Island - Leabgarrow,1.881,-0.322,0
2022-02-22T18:20:00Z,Aranmore Island - Leabgarrow,1.897,-0.306,0
2022-02-22T18:25:00Z,Aranmore Island - Leabgarrow,1.805,-0.398,0
2022-02-22T18:30:00Z,Aranmore Island - Leabgarrow,1.896,-0.307,0
2022-02-22T18:35:00Z,Aranmore Island - Leabgarrow,2.115,-0.088,0
2022-02-22T18:40:00Z,Aranmore Island - Leabgarrow,2.123,-0.08,0
